"","Megakaryocyte","Fibroblast","MSC","Myeloid","Neural"
"TMEM50A",0,5.3823994069061,1.49178566314911,0,0
"RHCE",0,0,0,0,0
"TMEM57",0,0.732154524987882,0,0,0
"LDLRAP1",0,1.37675408802535,0,0,0
"MTFR1L",0,0.8322171349563,2.16336836987131,0.548726953467954,0
"STMN1",119.775008642309,0.0986855090198555,0.707013574660633,6.09539205699402,1.76230953389638
"ZNF593",1.20743781695243,0.15956135307332,0,0,0
"SH3BGRL3",0,1.39905130272596,29.5483172204188,22.0236918668825,0.600492403771092
"CD52",0,0,0,15.3248826453211,0
"HMGN2",1.8001800180018,2.38503372428277,13.1915832152496,9.01316551724109,9.21205994386448
"RPS6KA1",0,0,0,0,0
"ARID1A",0,0.536394187330095,0.415558510638298,0,0
"NUDC",0,0.712501446944583,1.53132149203582,1.34916351861846,0
"TMEM222",0,0.66349496662069,1.18371212121212,0.780152909970354,0
"SYTL1",0,0,0,1.59555897286869,1.16181713012529
"WASF2",6.06494563360539,2.99467110773477,1.73762422635276,0.687201940109793,1.80147721131328
"FGR",0,0,0,0,0
"IFI6",0,4.24855186978685,0,6.59759391158717,0
"FAM76A",3.93723582884604,0.964427974482537,0.607976653696498,0,0
"STX12",0,0.83855603829179,0,0,0
"PPP1R8",0,0,0,0,0
"THEMIS2",0,0.1860361282161,0,0.548726953467954,0
"RPA2",0,0.218010533663852,0.318228105906314,0,0.600492403771092
"EYA3",0,0.147778155433064,0.44138418079096,0,0
"DNAJC8",3.28253849643725,0.554228181587461,1.91180190453262,2.30798412177667,0
"ATPIF1",0,3.59799001378909,2.9237447439284,5.83196277434993,0
"PHACTR4",0,1.06408854873476,0,0,0
"TRNAU1AP",1.8001800180018,0.1860361282161,0,0,4.20168067226891
"SNHG12",0,0.308624291940246,0,0,4.20168067226891
"TAF12",1.83351668500183,0.548938660222256,0,1.54236765299101,0
"GMEB1",0,0,0,0,0
"YTHDF2",1.39450564774787,0.918669669394166,0,0,0
"EPB41",0,0,1.25140752370984,0,0
"SRSF4",0,0.970214067758363,0,0.698616738857063,0
"LAPTM5",0,0,0.747607655502392,3.98963690806736,0
"PUM1",1.06462259129139,0.712862045911299,0,0,0
"SNRNP40",0,0.282466180373813,0,0,0
"ZCCHC17",3.59965870359827,0,0.726744186046512,0,0
"SERINC2",0,0,0.818062827225131,0,0
"PEF1",0,0.268882256459896,0,2.0617871273753,0
"SPOCD1",0,0,0,0,0
"PTP4A2",0,0,4.28762151254605,2.41185019137346,0
"KHDRBS1",0,2.00732301830912,0.591856060606061,0,0
"TMEM39B",0,0.342266698711557,0,0,0
"KPNA6",0,0.0422354372212461,0,0.597434883832644,0
"TXLNA",0,0.412566593864339,1.52507640188576,0.315238635647185,0
"CCDC28B",0,0,0,1.34916351861846,0
"EIF3I",5.56028453524085,0.576419956663694,1.54480701327164,4.48457577892927,0
"LCK",0,0,0,6.26844547833853,0
"HDAC1",0,0.232922083657389,0,3.34239339581116,0
"MARCKSL1",4.53780049130888,1.33297106637813,0,0,0
"BSDC1",0,1.11627928205731,0.44138418079096,0,0
"ZBTB8OS",3.17531753175318,0.089483862615518,0,0.315238635647185,3.08546744831842
"RBBP4",0,0.618868410424101,0.369385342789598,1.89214230129204,0.600492403771092
"SYNC",0,0.592850721649729,0,0,0
"S100PBP",0,0.132952203682776,0,1.32485426603074,0
"TMEM54",0,0.0511226534702057,0.726744186046512,0,0
"AK2",0,0.372013297341319,0,0,0
"SMIM12",0,0.0993097969114653,1.83836789873618,3.42574962103006,0
"SFPQ",5.86218284225891,2.09656820351988,1.41924896446567,0,0
"ZMYM4",0,0.871424053923506,0,0,4.20168067226891
"KIAA0319L",0,0.503614172295296,0,0,0
"PSMB2",7.90646903694455,1.37471548692103,1.37241985068072,2.20312844238819,0
"ADPRHL2",0,0,0,0,0
"TRAPPC3",0,0.430962885315398,1.74737033131686,1.12317548287972,0
"MAP7D1",1.73701580684384,0.0511226534702057,1.01382080954065,1.13558937088349,0
"THRAP3",5.88531116393093,1.5066690105644,0,1.64608771736132,0
"EVA1B",0,0.676153600816837,4.43647702236995,0,0
"LSM10",0,0.403796668752587,1.10415114257327,0,0.561324726354196
"MRPS15",0.961261174661156,0.435622489217353,1.22320908784508,0,0
"CSF3R",0,0,0.856942691429258,0,4.20168067226891
"ZC3H12A",0,0,0.415558510638298,0,0
"MEAF6",0,0.15067413682436,0.620039682539682,1.17178345441762,0.561324726354196
"GNL2",0,0.635768326021998,0,0,0
"RSPO1",0,2.05504305769195,0,0,0
"CDCA8",0,0.0844708744424922,0.697544642857143,0,0.561324726354196
"YRDC",0,0.259315924590929,0.637755102040816,0,0
"C1orf122",0,2.41350215043157,0.550176056338028,1.13558937088349,0
"MTF1",0,0.694137021894578,0,0,4.20168067226891
"SF3A3",1.70706725844998,0.0422354372212461,0.985854503464203,2.50378491477563,0.600492403771092
"UTP11L",3.52714968848713,0.424286138571853,0.494462025316456,0.574448529411765,0
"RRAGC",0,0.814494601833011,0,0,0
"MYCBP",0,0,0,0.993640699523052,0
"AKIRIN1",3.90108541964911,0.327940215621462,1.50243857337679,1.33084908171413,0
"NDUFS5",1.83351668500183,3.43243925921024,2.38286464604628,3.7484206139655,2.76854928017719
"MACF1",3.73622267887166,1.51246547848167,1.42603948092163,0.687201940109793,0
"PABPC4",0,0.236980802968243,0.733786616544611,0,0
"PPIE",0,1.73660980989018,0,1.32943741860865,0
"CAP1",0,0.222519565006636,2.47274595751346,6.13354620885676,0
"PPT1",0,1.03668623985914,0,2.58839423060549,0
"RLF",1.83351668500183,0.386518243661101,0,0,0
"ZMPSTE24",0,0.0422354372212461,0,0.780152909970354,0
"SMAP2",1.20743781695243,0,0.632591093117409,0,0
"NFYC",0,0,0,1.13558937088349,1.72314185647948
"CITED4",0,0.505476099172971,0,0,6.97022995244609
"CTPS1",0,0,0,0,0
"SCMH1",0,0.29322073657049,0,0,0
"HIVEP3",0,0.0993097969114653,0,0,0
"PPCS",0,1.6303098864477,0.316295546558705,0,0
"PPIH",0,0.557864057382754,0.550176056338028,0,1.16181713012529
"YBX1",27.337556043087,4.81511218898412,21.4868733361217,7.21503678414877,2.35866019536344
"P3H1",0,0.352268769313887,0.44138418079096,0,0
"C1orf50",0,0.0511226534702057,0,2.50604963574489,0
"SVBP",0,0.327322697468627,0,0.880591757661148,0
"ERMAP",0,0,0.448994252873563,0,0
"SLC2A1",0,0,0.632591093117409,0,0
"EBNA1BP2",0,0.273007415209992,0.448994252873563,1.40726146918097,0
"CDC20",0,0,1.57289374509953,0,0
"ELOVL1",0,0.0383612091453123,3.24303730867821,1.42775556824672,0.600492403771092
"MED8",0.891981090000892,0,0,0,4.80217307604
"HYI",1.67813391508642,1.2494156224908,0,0,0
"PTPRF",4.78675058550191,0.253203018179977,0,0,0
"IPO13",1.20743781695243,0,0.97922611821464,0,0
"ATP6V0B",27.9404486848976,1.60851354783014,3.4773964408336,2.50378491477563,4.20168067226891
"B4GALT2",0,0.0956782150272204,0.632591093117409,0.548726953467954,0
"SLC6A9",0,0,0,0,0
"RP5-1198O20.4",0,0,0,0,0
"DMAP1",0,0.0986855090198555,0.369385342789598,0,0
"ERI3",0,0.355889205560871,2.20308404765625,0,0
"RNF220",1.73701580684384,0.0511226534702057,1.13055190453262,1.41812313366814,0
"C1orf228",0,0,0,0,11.4490424835406
"RPS8",29.1754461495944,16.72758670262,35.2713846602817,31.6311743161964,13.5725826315487
"PLK3",0,0.19001359265431,0,0,0
"PTCH2",0,1.06922312281799,0,0,2.76854928017719
"EIF2B3",1.62311313098523,0.365618670429791,0,0,0
"UROD",4.29452487053146,0.418628990057562,1.85117128535538,1.14889705882353,0
"MUTYH",0,0.63754116205355,0,0,0
"PRDX1",16.9581812173071,2.28346049692127,2.21009181264479,6.78349820833315,0
"AKR1A1",6.13935259224652,1.34076225830498,1.94518269923977,0,0
"NASP",1.8001800180018,1.01060737853829,1.39519977033341,0,4.20168067226891
"GPBP1L1",0,0.0993097969114653,0,0.315238635647185,0
"TMEM69",0,0.80529103181476,0,0,0
"UQCRH",0,2.64803524329664,10.2001689550604,7.55412820902956,1.16181713012529
"MOB3C",0,0.0422354372212461,0,0,0
"ATPAF1",0,0.156504319519219,0,0,0
"EFCAB14",15.2540776364317,1.08682829596272,0.756142768532172,0,0
"PDZK1IP1",0,0,0,0.574448529411765,0
"TAL1",0,0,0.519102990033223,0,0
"CMPK1",0,0.31719580763488,0.640368852459016,1.33084908171413,0
"FAF1",1.59693388693708,0.132952203682776,0,0,0
"CDKN2C",0,0.302145571862655,0,0,0
"RNF11",1.83351668500183,0.508444777014375,0.519102990033223,0,0
"EPS15",0,0,0,0,0
"OSBPL9",0,0.799436198595862,0,0.548726953467954,0.561324726354196
"NRDC",0.9706853038245,1.403561017032,0.816637630662021,0,0.561324726354196
"TXNDC12",0,0.546754055864363,0,2.07218907108088,0
"KTI12",0,0.418628990057562,0,0,0
"BTF3L4",0,0.862831394183588,0.415558510638298,1.51880017096159,0
"PRPF38A",0,0.0422354372212461,0,1.57549200253937,0
"ZCCHC11",0,1.0902332805884,0.986896404927803,0,0.561324726354196
"GPX7",0,0,0.52257525083612,0,0
"ZYG11B",0,0,0,0,0
"ECHDC2",0,1.85496906084683,0,0,0
"SCP2",0,0.565749930125364,0.640368852459016,1.32485426603074,0
"C1orf123",0,0.377320956063011,0,0.574448529411765,0
"MAGOH",5.76781470450807,0.0767224182906245,0,2.03982171281754,1.16181713012529
"YIPF1",0,0.32705389848247,0,0,0
"HSPB11",0,0.700639107317568,0,0,0
"TMEM59",0,4.26912494641807,0,1.17178345441762,1.75816779159235
"MRPL37",0,0.108438699603114,0.415558510638298,0,0
"SSBP3",2.15238915195867,0.766477368453245,0,0.315238635647185,0
"USP24",0,0.209314495028781,0,0,0
"PLPP3",2.15238915195867,3.69383027935648,0.637755102040816,0,0
"MYSM1",0,0.251022918392449,0,0,0
"JUN",36.0586422770023,53.8112426053789,0.894282731515598,1.86739539138309,0
"NFIA",0,1.31376956773319,0.52257525083612,0,0
"TM2D1",0,1.67535028222474,0,0,0
"USP1",1.15127791848952,0,0.375600961538462,0,0
"ATG4C",0,0,0.658969969296581,0,0
"ITGB3BP",0,0,0,0,0
"PGM1",0,0.974187379860708,0,0,0
"JAK1",1.83351668500183,1.77703058373237,1.02866804321154,2.14678603807066,0
"LEPROT",0,5.7849852103424,0,0,0
"LEPR",0,20.3884364418199,0,0,0
"PDE4B",0,0,0,0,0
"MIER1",0,0.892142488365,0,0,0
"SLC35D1",0,0.108438699603114,0,0,3.84024577572965
"SERBP1",10.9452936174521,2.25470805180717,6.48399303402403,1.57890636011074,0
"GADD45A",1.43492610130578,0.426737276863069,0.44138418079096,0.574448529411765,0
"GNG12",0,0.0383612091453123,2.617623238843,0,0
"WLS",0,1.25456886712967,0,0,0
"DEPDC1",0,0,0,0,0
"LRRC40",0,0.0383612091453123,0,0,0
"SRSF11",2.87188962303938,3.60142757550373,0.798306819648283,1.15245372903216,0.561324726354196
"ZRANB2",0,2.69850081632398,1.29646617411282,1.97930327531363,1.16181713012529
"TYW3",0,0,0,0.315238635647185,0
"ACADM",0,0.132952203682776,0,0,0
"RABGGTB",0,0.380700239090453,0.504032258064516,0,0
"PIGK",0,0.506406036359953,0,0,0
"ZZZ3",0,0.0511226534702057,0.504032258064516,0,0
"USP33",0,0.661920864111644,0.448994252873563,0.372300819061802,0
"FAM73A",0,0.585926195792545,0,0.687539454708987,0
"NEXN",0,0,0,0,0
"FUBP1",0,0.773012194652167,0.318228105906314,0.977135040062537,7.28714812058733
"RP11-386I14.4",0,0.783546481455061,0,0,0
"IFI44L",0,5.29645899372341,0.78125,0,0
"IFI44",0,1.63112326554378,0,0,0
"RP5-887A10.1",0,0.204490613880823,0,0,0
"TTLL7",6.48620798308089,0.523595935483318,0,0,0
"PRKACB",0,0.251022918392449,0,0,0
"RPF1",0,0.19890080890327,0,0,0
"GNG5",0,1.35136800767196,1.84685358376121,2.12329687736313,1.80147721131328
"CTBS",0,0.452560846578785,0.44138418079096,0,0
"SSX2IP",0,0,0,0.899442345745638,0
"C1orf52",0,0.897189976270822,0,0,0
"DDAH1",0,0.18028412778539,0.550176056338028,0,0
"CYR61",0,3.77293724826131,3.64006499871812,0,0
"ZNHIT6",0,0.102245306940411,0,0,0
"ODF2L",0,4.76455738346618,0,0.372300819061802,0
"SH3GLB1",7.25814806000286,0.189035345969673,0.607976653696498,0.687539454708987,1.16181713012529
"SEP15",0,2.85980049076533,1.39711806783791,2.69233669792652,0
"LMO4",3.6361452856876,3.81342593788785,2.52463640008045,0,0
"PKN2",2.34582281757588,1.27616478255804,0.272212543554007,0,1.16181713012529
"GTF2B",1.86811133943583,0.896205474520984,0.44138418079096,0.315238635647185,0
"RBMXL1",0,0,0,0.314901121047991,0
"GBP3",0,1.24064558399852,0.789141414141414,0,0
"GBP1",0,0.175187640904022,0,0,0
"GBP2",0,0.297677133736241,0,1.36798905608755,0
"GBP4",0,0.0986855090198555,0,0,0
"GBP5",0,0,0,0,0
"ZNF326",0.961261174661156,0.549283010915611,0.44138418079096,0,0
"RP4-665J23.1",0,0,0,0,0
"ZNF644",1.8001800180018,1.43466748497318,0,0,0
"TGFBR3",0,0.93724612438167,0,0,0
"GFI1",0,0,0,0,4.80217307604
"RPL5",5.40349116878901,11.9947706776252,11.4004074592292,23.4282690980022,6.08554468114643
"MTF2",1.9040365575019,0,1.22363891895142,2.2485808137487,0
"TMED5",1.98019801980198,0.0986855090198555,0,0,0
"CCDC18",0,0.829040966459557,0,0,4.7630053986231
"DR1",0,0.242851823026135,0.533276450511945,0,0
"BCAR3",0,0.0993097969114653,0,0,0
"DNTTIP2",0,0.19001359265431,0,0.698616738857063,4.20168067226891
"GCLM",1.86811133943583,1.16400192780567,0,0,0
"CNN3",3.882741215298,1.39105305971175,0.818062827225131,0,0
"ALG14",0,0,0,0,0
"TMEM56",0,0,0,0,0
"AGL",0,0.0383612091453123,0.494462025316456,0,0
"SLC35A3",0,0.0986855090198555,0,0,3.08546744831842
"MFSD14A",3.13627854013471,0.826195404087513,0,0,0
"TRMT13",0,1.10683340497005,0,0,0
"RTCA",0,0,0,0.548726953467954,0
"VCAM1",0,13.6012543992386,0,0,0
"SLC30A7",0,0.251022918392449,0,0.314901121047991,0
"DPH5",0,0.287844333784289,0,0,0
"RP11-421L21.3",0,0.259315924590929,0,0,0
"S1PR1",0,0,0,0.372300819061802,0
"RNPC3",1.70706725844998,0.108438699603114,0,0,0
"PRPF38B",0,1.48999177020444,1.18899183629335,0.597434883832644,0.561324726354196
"STXBP3",1.70706725844998,0,0,0,0
"TMEM167B",0,1.48548130146602,0.375600961538462,0,0
"SARS",0,1.45974161975402,0,1.40726146918097,0
"PSMA5",1.83351668500183,0.329925436470601,0,2.98319544278318,0
"GNAI3",0,0.517593931033556,0,0,0.600492403771092
"GSTM3",17.8273440183059,2.17248398458526,0,0,0
"CSF1",0,3.30077256742832,0.52257525083612,0,0
"AHCYL1",1.941370607649,0.862607612297265,0,0,0
"RBM15",0,0,0,0,0
"LAMTOR5",1.26935770500127,3.59197216978704,4.27240292226256,0.574448529411765,0
"KCNA3",0,0,0,0,0
"CD53",0,0,0,6.53745671901132,0
"LRIF1",1.5001500150015,0.466521575793099,0,1.54408427347943,0
"DRAM2",1.73701580684384,0,0.572344322344322,0,0
"CEPT1",0,1.34158020519224,0,0,0
"DENND2D",0,0.0422354372212461,0,0.899442345745638,0
"WDR77",0,0.581865110494804,0.627510040160642,1.01419878296146,0
"ATP5F1",0,2.05325559940455,0,2.91460914040406,0
"C1orf162",0,0,0,2.2882136116275,0.561324726354196
"RAP1A",26.0053398860346,0.582642483151457,0,1.81784005835058,0
"CAPZA1",0,0.522086891646813,0,1.48544266191325,0.600492403771092
"RHOC",0,3.51179758278468,6.98891051260754,1.64433853965664,0
"SLC16A1-AS1",0,0.62188108889312,0.415558510638298,1.34916351861846,0
"PHTF1",0,0.0422354372212461,0.95598320794713,0,3.08546744831842
"RSBN1",3.33394969378092,0.742115027829313,0,4.00105663263558,3.84024577572965
"PTPN22",0,0,0,0.282533762784653,0
"HIPK1",0,0,0,0,0
"OLFML3",0,6.18961505354514,0,0,0
"TRIM33",0,0.813365388997297,0.607976653696498,0.315238635647185,0
"BCAS2",0,0.602028600012018,0.775229498633754,0,0
"NRAS",0,0,0.544425087108014,0.574448529411765,0
"CSDE1",6.82229303558042,0.611625139727407,1.87585554631616,0,0
"SIKE1",0,0.576078888459445,0,1.32106742247736,0
"ATP1A1",0,0.99352497724065,0,0,0
"CD2",0,0,0,2.71674302811346,0
"MAN1A2",0,0.635768326021998,0,0,0
"FAM46C",0.9706853038245,0.0511226534702057,0,0,0
"SEC22B",0,0.601580867563746,0,0.561293219577907,0
"RP11-14N7.2",0,0.210393435724805,0.526094276094276,0,0
"CH17-373J23.1",0,0.595832738689882,0.44138418079096,0,0
"RNF115",0,0.999762479184701,0,0,2.76854928017719
"ITGA10",0,0.67130004731389,0.316295546558705,0,0
"RBM8A",0,0.86933569795244,1.40384067959462,1.89789047208641,0
"LIX1L",0,0.879549059058914,0,0,0
"POLR3GL",0,0.0956782150272204,0,1.45431721720228,0
"TXNIP",0,10.5777063711943,0.816637630662021,6.73786540956148,1.12264945270839
"AC245100.1",0,0.0986855090198555,0,0,1.16181713012529
"NBPF14",0,0.108438699603114,0,0,0
"CH17-189H20.1",0,1.93022051824244,0,0,0.561324726354196
"LINC00869",0,0.231271742939918,0,0,0.561324726354196
"HIST2H2BF",0,0,0.318228105906314,0,0
"HIST2H2BE",0,0,0.636456211812627,0,0
"HIST2H2AC",1.45602795573675,0.102245306940411,0,0,0
"BOLA1",1.67813391508642,0.386518243661101,0,0,0
"SF3B4",1.20743781695243,0.150432450381671,0,0,0
"OTUD7B",0,0,0,0.372300819061802,0
"VPS45",0,0.67412953516731,0,0.880591757661148,0
"PLEKHO1",0,0.718939754692888,1.13669192283955,2.3390530489922,0
"ANP32E",0,0.600816586839319,0,2.75642498779943,0.561324726354196
"APH1A",0,1.95726806564588,0,0,0
"MRPS21",0.934055669717916,3.3962207276161,1.62239013258436,1.36798905608755,4.80217307604
"RPRD2",0,0,0,0,0
"MCL1",0,2.57637558648468,1.18289594033631,0.314901121047991,0
"ENSA",0,1.23512358464967,1.62394646769398,2.41931898490193,0.600492403771092
"CTSS",0,0,0,3.5335639228331,0
"CTSK",0,2.43866722794797,0,0,0
"CERS2",0,0.137671006056778,0,1.36798905608755,0.600492403771092
"C1orf56",0,0.73879924178537,0,0,0
"CDC42SE1",0,0.3188759189894,0,2.53613297722744,0
"MLLT11",0,0,0,0,0
"GABPB2",0,0.812477687111979,0,0.372300819061802,0
"TNFAIP8L2",0,0,0,1.70314990077593,0
"SCNM1",2.16785657905562,0.697967693969577,0.620039682539682,0,0
"VPS72",0,0.505403994872389,0,0,0
"PIP5K1A",0,0,0,0,3.08546744831842
"PSMD4",7.10475963748244,0.862453709676222,0.72120679642757,0,0
"PI4KB",0,0.763371948362805,0,0,0
"SELENBP1",1.70706725844998,1.39749054305159,1.63236676655503,0,0
"PSMB4",3.70940455390077,0.47395199513002,0.801282051282051,0.282533762784653,0
"POGZ",1.941370607649,0.622825764198103,0,0,0
"SNX27",0,0.132952203682776,0,0,0
"MRPL9",0,0.648683475933265,0.360854503464203,0,2.76854928017719
"THEM4",0,0.209314495028781,0,0,0
"S100A10",0,2.40389141293213,2.5601216981444,14.8825669731158,0
"S100A11",1.76803394625177,13.3768005743825,10.4851613188464,8.85604363738267,1.16181713012529
"S100A9",0,0,3.75840048894237,0.372300819061802,357.781246870922
"S100A12",0,0,0,0,0
"S100A8",0,0,2.10361822334415,1.15245372903216,809.954253859986
"S100A6",9.63788062536695,9.18267645998244,34.5520471409593,18.0621603014617,3.36904168394828
"S100A4",0,1.4511978886459,0,45.6335191981733,0
"S100A16",0,0.717610778630739,9.35218791158919,0,0
"S100A13",11.2471884669266,10.1229774197095,8.1998417558813,0,0
"CHTOP",1.20743781695243,0.358625721502394,0.360854503464203,2.11272441094603,0
"SNAPIN",0,0.897228136190019,0,0,0
"ILF2",1.62311313098523,2.0193963011743,0,0.282533762784653,0
"GATAD2B",1.37513751375138,0.137243868630169,0.76593137254902,0,0
"DENND4B",0,0.0956782150272204,0,0,0
"SLC39A1",0,0.28569180768153,0.733568075117371,0,0
"JTB",0,0.260437148498986,6.0538272562822,3.47258373390811,0
"RAB13",0,2.07955744606963,2.44684260124909,0,7.29358434934523
"RPS27",20.9616449124936,25.824049253354,33.2912360922867,56.1909663846075,22.2483033432872
"TPM3",0,2.03021166113234,5.2377140219832,3.94006058341318,1.15767538782126
