source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,type_gene_A_r,type_gene_B_r,MeanLR_r
Neural,Neural,ITGB1,USF1,Receptor,Transcription Factor,-0.0310025084763765,Receptor,Transcription Factor,-0.0310025086694826
Neural,Neural,PTPRF,USF1,Receptor,Transcription Factor,-0.0310025084763765,Receptor,Transcription Factor,-0.0310025086694826
Neural,Neural,MYLK,TBP,Receptor,Transcription Factor,0.1408903300762176,Receptor,Transcription Factor,0.140890326370986
Neural,Neural,ITGB1,TEAD2,Receptor,Transcription Factor,-0.287343829870224,Receptor,Transcription Factor,-0.287343829049584
Neural,Neural,PTPRF,TEAD2,Receptor,Transcription Factor,-0.287343829870224,Receptor,Transcription Factor,-0.287343829049584
Neural,Neural,MYLK,ELK1,Receptor,Transcription Factor,-0.2261315286159515,Receptor,Transcription Factor,-0.226131514703378
Neural,Neural,PTPRF,ELK1,Receptor,Transcription Factor,-0.2261315286159515,Receptor,Transcription Factor,-0.226131514703378
Neural,Neural,ITGB1,IKZF1,Receptor,Transcription Factor,0.5059983730316162,Receptor,Transcription Factor,0.505998370103666
Neural,Neural,PTPRF,IKZF1,Receptor,Transcription Factor,0.5059983730316162,Receptor,Transcription Factor,0.505998370103666
Neural,Neural,ITGB1,ATF1,Receptor,Transcription Factor,0.5237246751785278,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,MYLK,ATF1,Receptor,Transcription Factor,0.5237246751785278,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,PTPRF,ATF1,Receptor,Transcription Factor,0.5237246751785278,Receptor,Transcription Factor,0.523724693304253
Neural,Neural,ITGB1,EPAS1,Receptor,Transcription Factor,0.3846798539161682,Receptor,Transcription Factor,0.384679864222992
Neural,Neural,PTPRF,EPAS1,Receptor,Transcription Factor,0.3846798539161682,Receptor,Transcription Factor,0.384679864222992
Neural,Neural,ITGB1,SP1,Receptor,Transcription Factor,-0.1041344180703163,Receptor,Transcription Factor,-0.104134406561178
Neural,Neural,LPP,SP1,Receptor,Transcription Factor,-0.1041344180703163,Receptor,Transcription Factor,-0.104134406561178
Neural,Neural,PTPRF,SP1,Receptor,Transcription Factor,-0.1041344180703163,Receptor,Transcription Factor,-0.104134406561178
Neural,Neural,ITGB1,SMAD1,Receptor,Transcription Factor,0.0296673905104398,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,LPP,SMAD1,Receptor,Transcription Factor,0.0296673905104398,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,PTPRF,SMAD1,Receptor,Transcription Factor,0.0296673905104398,Receptor,Transcription Factor,0.0296673946809736
Neural,Neural,ITGB1,ZBTB16,Receptor,Transcription Factor,0.018604228273034,Receptor,Transcription Factor,0.0186042343134181
Neural,Neural,PTPRF,ZBTB16,Receptor,Transcription Factor,0.018604228273034,Receptor,Transcription Factor,0.0186042343134181
Neural,Neural,ITGB1,ARNT,Receptor,Transcription Factor,-0.0548775270581245,Receptor,Transcription Factor,-0.054877529648083
Neural,Neural,PTPRF,ARNT,Receptor,Transcription Factor,-0.0548775270581245,Receptor,Transcription Factor,-0.054877529648083
Neural,Neural,ITGB1,FOXO1,Receptor,Transcription Factor,0.0194058381021022,Receptor,Transcription Factor,0.019405835269256
Neural,Neural,PTPRF,FOXO1,Receptor,Transcription Factor,0.0194058381021022,Receptor,Transcription Factor,0.019405835269256
Neural,Neural,ITGB1,ASCL1,Receptor,Transcription Factor,0.1903395503759384,Receptor,Transcription Factor,0.190339550349184
Neural,Neural,PTPRF,ASCL1,Receptor,Transcription Factor,0.1903395503759384,Receptor,Transcription Factor,0.190339550349184
Neural,Neural,ITGB1,GATA2,Receptor,Transcription Factor,0.1747426986694336,Receptor,Transcription Factor,0.174742700075772
Neural,Neural,PTPRF,GATA2,Receptor,Transcription Factor,0.1747426986694336,Receptor,Transcription Factor,0.174742700075772
Neural,Neural,ITGB1,SPIB,Receptor,Transcription Factor,-0.0115251308307051,Receptor,Transcription Factor,-0.0115251306372396
Neural,Neural,PTPRF,SPIB,Receptor,Transcription Factor,-0.0115251308307051,Receptor,Transcription Factor,-0.0115251306372396
Neural,Neural,ITGB1,TP63,Receptor,Transcription Factor,-0.1292475759983062,Receptor,Transcription Factor,-0.129247570290418
Neural,Neural,PTPRF,TP63,Receptor,Transcription Factor,-0.1292475759983062,Receptor,Transcription Factor,-0.129247570290418
Neural,Neural,ITGB1,NR4A1,Receptor,Transcription Factor,-0.1785062104463577,Receptor,Transcription Factor,-0.178506226275429
Neural,Neural,PTPRF,NR4A1,Receptor,Transcription Factor,-0.1785062104463577,Receptor,Transcription Factor,-0.178506226275429
Neural,Neural,ITGB1,TAL1,Receptor,Transcription Factor,0.0778063014149665,Receptor,Transcription Factor,0.077806304341641
Neural,Neural,PTPRF,TAL1,Receptor,Transcription Factor,0.0778063014149665,Receptor,Transcription Factor,0.077806304341641
Neural,Neural,ITGB1,POU5F1,Receptor,Transcription Factor,-0.1550598889589309,Receptor,Transcription Factor,-0.155059886554782
Neural,Neural,PTPRF,POU5F1,Receptor,Transcription Factor,-0.1550598889589309,Receptor,Transcription Factor,-0.155059886554782
Neural,Neural,ITGB1,TEAD4,Receptor,Transcription Factor,-0.1875178813934326,Receptor,Transcription Factor,-0.187517872093582
Neural,Neural,PTPRF,TEAD4,Receptor,Transcription Factor,-0.1875178813934326,Receptor,Transcription Factor,-0.187517872093582
Neural,Neural,ITGB1,TEAD1,Receptor,Transcription Factor,-0.2961823940277099,Receptor,Transcription Factor,-0.296182402546717
Neural,Neural,PTPRF,TEAD1,Receptor,Transcription Factor,-0.2961823940277099,Receptor,Transcription Factor,-0.296182402546717
Neural,Neural,ITGB1,TERF1,Receptor,Transcription Factor,-0.1626479476690292,Receptor,Transcription Factor,-0.162647945973708
Neural,Neural,PTPRF,TERF1,Receptor,Transcription Factor,-0.1626479476690292,Receptor,Transcription Factor,-0.162647945973708
Neural,Neural,ITGB1,FOXA2,Receptor,Transcription Factor,-0.1515931189060211,Receptor,Transcription Factor,-0.151593143868974
Neural,Neural,PTPRF,FOXA2,Receptor,Transcription Factor,-0.1515931189060211,Receptor,Transcription Factor,-0.151593143868974
Neural,Neural,ITGB1,SOX2,Receptor,Transcription Factor,0.0170912686735391,Receptor,Transcription Factor,0.0170912675741666
Neural,Neural,PTPRF,SOX2,Receptor,Transcription Factor,0.0170912686735391,Receptor,Transcription Factor,0.0170912675741666
Neural,Neural,ITGB1,PDX1,Receptor,Transcription Factor,-0.1176478862762451,Receptor,Transcription Factor,-0.117647894538581
Neural,Neural,PTPRF,PDX1,Receptor,Transcription Factor,-0.1176478862762451,Receptor,Transcription Factor,-0.117647894538581
Neural,Neural,ITGB1,SRF,Receptor,Transcription Factor,-0.5713078379631042,Receptor,Transcription Factor,-0.571307832255861
Neural,Neural,PTPRF,SRF,Receptor,Transcription Factor,-0.5713078379631042,Receptor,Transcription Factor,-0.571307832255861
Neural,Neural,ITGB1,HSF1,Receptor,Transcription Factor,0.2193323522806167,Receptor,Transcription Factor,0.219332337755777
Neural,Neural,PTPRF,HSF1,Receptor,Transcription Factor,0.2193323522806167,Receptor,Transcription Factor,0.219332337755777
Neural,Neural,KLF1,GDF15,Transcription_Factor,Ligand,0.6018638610839844,Transcription Factor,Ligand,0.601863829807483
Neural,Neural,KLF1,LTBP3,Transcription_Factor,Ligand,0.6018638610839844,Transcription Factor,Ligand,0.601863829807483
Neural,Neural,IRF9,CXCL8,Transcription_Factor,Ligand,0.6435275673866272,Transcription Factor,Ligand,0.643527568027932
Neural,Neural,IRF9,GDF15,Transcription_Factor,Ligand,0.6435275673866272,Transcription Factor,Ligand,0.643527568027932
Neural,Neural,USF2,CALR,Transcription_Factor,Ligand,0.1322944462299347,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,USF2,GDF15,Transcription_Factor,Ligand,0.1322944462299347,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,USF2,LTBP3,Transcription_Factor,Ligand,0.1322944462299347,Transcription Factor,Ligand,0.132294435068554
Neural,Neural,ZBED1,CALR,Transcription_Factor,Ligand,-0.263046532869339,Transcription Factor,Ligand,-0.263046520140004
Neural,Neural,ZBED1,GDF15,Transcription_Factor,Ligand,-0.263046532869339,Transcription Factor,Ligand,-0.263046520140004
Neural,Neural,HIF1A,ADM,Transcription_Factor,Ligand,0.1933659017086029,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,HIF1A,MIF,Transcription_Factor,Ligand,0.1933659017086029,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,HIF1A,TF,Transcription_Factor,Ligand,0.1933659017086029,Transcription Factor,Ligand,0.193365891976828
Neural,Neural,CEBPD,GDF15,Transcription_Factor,Ligand,0.3196430206298828,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,CEBPD,TF,Transcription_Factor,Ligand,0.3196430206298828,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,CEBPD,VCL,Transcription_Factor,Ligand,0.3196430206298828,Transcription Factor,Ligand,0.319643047457005
Neural,Neural,ZNF318,GDF15,Transcription_Factor,Ligand,0.3758322298526764,Transcription Factor,Ligand,0.375832205456568
Neural,Neural,STAT5A,IL16,Transcription_Factor,Ligand,0.3285005390644073,Transcription Factor,Ligand,0.328500543571754
Neural,Neural,IRF2,GDF15,Transcription_Factor,Ligand,0.5827659964561462,Transcription Factor,Ligand,0.582765966662885
Neural,Neural,IRF2,LTBP3,Transcription_Factor,Ligand,0.5827659964561462,Transcription Factor,Ligand,0.582765966662885
Neural,Neural,VDR,BAG6,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,CALR,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,CLEC11A,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,CXCL8,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,EFNB1,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,GDF15,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,VDR,LGALS9,Transcription_Factor,Ligand,-0.0446032918989658,Transcription Factor,Ligand,-0.0446033033872904
Neural,Neural,SMAD5,BAG6,Transcription_Factor,Ligand,-0.3889021873474121,Transcription Factor,Ligand,-0.388902183133723
Neural,Neural,KLF13,GDF15,Transcription_Factor,Ligand,0.2403767108917236,Transcription Factor,Ligand,0.240376708385774
Neural,Neural,KLF13,VCL,Transcription_Factor,Ligand,0.2403767108917236,Transcription Factor,Ligand,0.240376708385774
Neural,Neural,USF1,LTBP3,Transcription_Factor,Ligand,-0.0310025084763765,Transcription Factor,Ligand,-0.0310025086694826
Neural,Neural,NFE2L2,CXCL8,Transcription_Factor,Ligand,0.4988877475261688,Transcription Factor,Ligand,0.498887753245666
Neural,Neural,NFE2L2,GDF15,Transcription_Factor,Ligand,0.4988877475261688,Transcription Factor,Ligand,0.498887753245666
Neural,Neural,E2F5,GDF15,Transcription_Factor,Ligand,0.4660300314426422,Transcription Factor,Ligand,0.466030023851771
Neural,Neural,GFI1B,GDF15,Transcription_Factor,Ligand,0.5509322881698608,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,GFI1B,LTBP3,Transcription_Factor,Ligand,0.5509322881698608,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,GFI1B,VCL,Transcription_Factor,Ligand,0.5509322881698608,Transcription Factor,Ligand,0.550932329457485
Neural,Neural,ZBTB33,GDF15,Transcription_Factor,Ligand,-0.167521521449089,Transcription Factor,Ligand,-0.167521541596697
Neural,Neural,NFE2,GDF15,Transcription_Factor,Ligand,0.6458896994590759,Transcription Factor,Ligand,0.645889668458459
Neural,Neural,NFE2,VCL,Transcription_Factor,Ligand,0.6458896994590759,Transcription Factor,Ligand,0.645889668458459
Neural,Neural,SOX6,GDF15,Transcription_Factor,Ligand,0.5168416500091553,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,SOX6,NMU,Transcription_Factor,Ligand,0.5168416500091553,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,SOX6,VCL,Transcription_Factor,Ligand,0.5168416500091553,Transcription Factor,Ligand,0.516841648860658
Neural,Neural,FOXK2,GDF15,Transcription_Factor,Ligand,0.6198009848594666,Transcription Factor,Ligand,0.61980099121386
Neural,Neural,FOXK2,NMU,Transcription_Factor,Ligand,0.6198009848594666,Transcription Factor,Ligand,0.61980099121386
Neural,Neural,TBP,GDF15,Transcription_Factor,Ligand,0.1408903300762176,Transcription Factor,Ligand,0.140890326370986
Neural,Neural,TBP,LTBP3,Transcription_Factor,Ligand,0.1408903300762176,Transcription Factor,Ligand,0.140890326370986
Neural,Neural,ZNF83,GDF15,Transcription_Factor,Ligand,0.3313682675361633,Transcription Factor,Ligand,0.331368275610363
Neural,Neural,ELK1,BAG6,Transcription_Factor,Ligand,-0.2261315286159515,Transcription Factor,Ligand,-0.226131514703378
Neural,Neural,ELK1,COPA,Transcription_Factor,Ligand,-0.2261315286159515,Transcription Factor,Ligand,-0.226131514703378
Neural,Neural,IKZF1,VCL,Transcription_Factor,Ligand,0.5059983730316162,Transcription Factor,Ligand,0.505998370103666
Neural,Neural,ATF1,COPA,Transcription_Factor,Ligand,0.5237246751785278,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,ATF1,GDF15,Transcription_Factor,Ligand,0.5237246751785278,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,ATF1,HLA-G,Transcription_Factor,Ligand,0.5237246751785278,Transcription Factor,Ligand,0.523724693304253
Neural,Neural,HBP1,GDF15,Transcription_Factor,Ligand,0.4573674201965332,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,HBP1,LTBP3,Transcription_Factor,Ligand,0.4573674201965332,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,HBP1,MIF,Transcription_Factor,Ligand,0.4573674201965332,Transcription Factor,Ligand,0.457367394555279
Neural,Neural,EPAS1,PGF,Transcription_Factor,Ligand,0.3846798539161682,Transcription Factor,Ligand,0.384679864222992
Neural,Neural,SP1,GDF15,Transcription_Factor,Ligand,-0.1041344180703163,Transcription Factor,Ligand,-0.104134406561178
Neural,Neural,SP1,HLA-G,Transcription_Factor,Ligand,-0.1041344180703163,Transcription Factor,Ligand,-0.104134406561178
Neural,Neural,SP1,LTBP3,Transcription_Factor,Ligand,-0.1041344180703163,Transcription Factor,Ligand,-0.104134406561178
Neural,Neural,SP1,MIF,Transcription_Factor,Ligand,-0.1041344180703163,Transcription Factor,Ligand,-0.104134406561178
Neural,Neural,SP1,TF,Transcription_Factor,Ligand,-0.1041344180703163,Transcription Factor,Ligand,-0.104134406561178
Neural,Neural,SMAD1,CXCL8,Transcription_Factor,Ligand,0.0296673905104398,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SMAD1,GDF15,Transcription_Factor,Ligand,0.0296673905104398,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SMAD1,VCL,Transcription_Factor,Ligand,0.0296673905104398,Transcription Factor,Ligand,0.0296673946809736
Neural,Neural,SREBF1,GDF15,Transcription_Factor,Ligand,0.109366238117218,Transcription Factor,Ligand,0.10936622626752
Neural,Neural,MYNN,LTBP3,Transcription_Factor,Ligand,0.3374888896942138,Transcription Factor,Ligand,0.337488912693046
Neural,Neural,BHLHE40,GDF15,Transcription_Factor,Ligand,0.2902621328830719,Transcription Factor,Ligand,0.290262124940275
Neural,Neural,FOXO1,IL16,Transcription_Factor,Ligand,0.0194058381021022,Transcription Factor,Ligand,0.019405835269256
Neural,Neural,FOXO1,VCL,Transcription_Factor,Ligand,0.0194058381021022,Transcription Factor,Ligand,0.019405835269256
Neural,Neural,ZNF92,GDF15,Transcription_Factor,Ligand,-0.061665266752243,Transcription Factor,Ligand,-0.0616652745475685
Neural,Neural,GATA2,ADM,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,CLEC11A,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,COL6A3,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,CXCL8,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,GDF15,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,ICAM4,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,IL16,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,SNCA,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,GATA2,VCL,Transcription_Factor,Ligand,0.1747426986694336,Transcription Factor,Ligand,0.174742700075772
Neural,Neural,TBX21,VCL,Transcription_Factor,Ligand,-0.1175714135169982,Transcription Factor,Ligand,-0.117571418579832
Neural,Neural,SPIB,IL16,Transcription_Factor,Ligand,-0.0115251308307051,Transcription Factor,Ligand,-0.0115251306372396
Neural,Neural,SPIB,VCL,Transcription_Factor,Ligand,-0.0115251308307051,Transcription Factor,Ligand,-0.0115251306372396
Neural,Neural,HNF4G,GDF15,Transcription_Factor,Ligand,-0.1318172365427017,Transcription Factor,Ligand,-0.131817233819036
Neural,Neural,HNF4G,LTBP3,Transcription_Factor,Ligand,-0.1318172365427017,Transcription Factor,Ligand,-0.131817233819036
Neural,Neural,HNF4G,PGF,Transcription_Factor,Ligand,-0.1318172365427017,Transcription Factor,Ligand,-0.131817233819036
Neural,Neural,XBP1,CXCL8,Transcription_Factor,Ligand,-0.0461314655840396,Transcription Factor,Ligand,-0.0461314697395461
Neural,Neural,BATF,IL16,Transcription_Factor,Ligand,-0.1451553106307983,Transcription Factor,Ligand,-0.14515532047745
Neural,Neural,ERG,CXCL8,Transcription_Factor,Ligand,-0.1090763881802558,Transcription Factor,Ligand,-0.109076382900109
Neural,Neural,ERG,SNCA,Transcription_Factor,Ligand,-0.1090763881802558,Transcription Factor,Ligand,-0.109076382900109
Neural,Neural,NR2F1,TF,Transcription_Factor,Ligand,0.0427285395562648,Transcription Factor,Ligand,0.04272854011897
Neural,Neural,SNAI2,LTBP3,Transcription_Factor,Ligand,-0.2856537699699402,Transcription Factor,Ligand,-0.28565378765983
Neural,Neural,MBD3,LTBP3,Transcription_Factor,Ligand,-0.3767894208431244,Transcription Factor,Ligand,-0.376789436857399
Neural,Neural,TFAP4,GDF15,Transcription_Factor,Ligand,-0.0323780551552772,Transcription Factor,Ligand,-0.0323780512607243
Neural,Neural,TFAP4,PGF,Transcription_Factor,Ligand,-0.0323780551552772,Transcription Factor,Ligand,-0.0323780512607243
Neural,Neural,GATA4,NPPA,Transcription_Factor,Ligand,-0.1275140941143036,Transcription Factor,Ligand,-0.127514106180019
Neural,Neural,IRF4,IL16,Transcription_Factor,Ligand,-0.1918790638446808,Transcription Factor,Ligand,-0.191879077192393
Neural,Neural,HNF4A,ADM,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,CALR,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,EFNB1,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,GDF15,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,LGALS3,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,LTBP3,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,MIF,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,PGF,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,SEMA7A,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,SNCA,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,TF,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF4A,VCL,Transcription_Factor,Ligand,0.2149479836225509,Transcription Factor,Ligand,0.214947988370587
Neural,Neural,HNF1B,VCL,Transcription_Factor,Ligand,-0.3950614333152771,Transcription Factor,Ligand,-0.39506142219681
Neural,Neural,TERF2,IL16,Transcription_Factor,Ligand,-0.0204737540334463,Transcription Factor,Ligand,-0.0204737541689373
Neural,Neural,NR4A1,IL16,Transcription_Factor,Ligand,-0.1785062104463577,Transcription Factor,Ligand,-0.178506226275429
Neural,Neural,NR4A1,VCL,Transcription_Factor,Ligand,-0.1785062104463577,Transcription Factor,Ligand,-0.178506226275429
Neural,Neural,ESR1,COL6A3,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,CXCL8,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,EFNB1,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,GDF15,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,IL16,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,LGALS3,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,LTBP3,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,PGF,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,TF,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,ESR1,VCL,Transcription_Factor,Ligand,-0.0877766981720924,Transcription Factor,Ligand,-0.0877766926871738
Neural,Neural,TAL1,CALR,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,COL6A3,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,CXCL8,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,IL16,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,SEMA7A,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,SNCA,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,TNFSF13B,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,TAL1,VCL,Transcription_Factor,Ligand,0.0778063014149665,Transcription Factor,Ligand,0.077806304341641
Neural,Neural,MEIS1,VCL,Transcription_Factor,Ligand,-0.0180650781840086,Transcription Factor,Ligand,-0.0180650786353385
Neural,Neural,POU2F2,SEMA7A,Transcription_Factor,Ligand,-0.2815814316272735,Transcription Factor,Ligand,-0.281581411781613
Neural,Neural,RUNX1,COL6A3,Transcription_Factor,Ligand,-0.0360560528934001,Transcription Factor,Ligand,-0.0360560540827132
Neural,Neural,RUNX1,IL16,Transcription_Factor,Ligand,-0.0360560528934001,Transcription Factor,Ligand,-0.0360560540827132
Neural,Neural,RUNX1,LGALS3,Transcription_Factor,Ligand,-0.0360560528934001,Transcription Factor,Ligand,-0.0360560540827132
Neural,Neural,RUNX1,SEMA7A,Transcription_Factor,Ligand,-0.0360560528934001,Transcription Factor,Ligand,-0.0360560540827132
Neural,Neural,RUNX1,VCL,Transcription_Factor,Ligand,-0.0360560528934001,Transcription Factor,Ligand,-0.0360560540827132
Neural,Neural,EBF1,IL16,Transcription_Factor,Ligand,-0.1903077811002731,Transcription Factor,Ligand,-0.190307793709109
Neural,Neural,RUNX3,IL16,Transcription_Factor,Ligand,-0.2229370921850204,Transcription Factor,Ligand,-0.22293709748411
Neural,Neural,CDX2,LGALS3,Transcription_Factor,Ligand,-0.4093914031982422,Transcription Factor,Ligand,-0.40939139486858
Neural,Neural,CTCF,ADM,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CALR,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CLEC11A,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,COL6A3,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,COPA,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,CXCL8,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,EFNB1,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,FGF7,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,GDF15,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,HLA-DQA1,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,HLA-G,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,IL16,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LGALS3,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LGALS9,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,LTBP3,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,MIF,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,NMU,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,PGF,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SEMA7A,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SFRP2,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,SNCA,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,TF,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
Neural,Neural,CTCF,TNFSF13B,Transcription_Factor,Ligand,0.1630250960588455,Transcription Factor,Ligand,0.163025087889078
